file,cetta_wall_s,cetta_rss_kb,cetta_status,petta_wall_s,petta_rss_kb,petta_status
case.metta,0,5480,0,0,16648,0
case2.metta,0,5584,0,0,16544,0
caseconstrain.metta,0,5560,0,0,16532,0
caseempty.metta,0,5328,0,0,16812,0
casenew.metta,0,5520,0,0,16828,0
chain.metta,0,5468,0,0,16636,0
collapse.metta,0,5464,0,0,16444,0
comments.metta,0,5508,0,0,16792,0
constanthead.metta,0,5388,0,0,16776,0
empty.metta,0,5560,0,0,16616,0
eval.metta,0,6572,0,0,16884,0
factorial.metta,0,5780,0,0,16700,0
foldallmatch.metta,0,6308,0,0,16732,0
foldallspacecount.metta,0,6472,0,0,16776,0
functionhead.metta,0,6032,0,0,16652,0
functionhead2.metta,0,5932,0,0,16324,0
functionhead3.metta,0,6276,0,0,16568,0
he_assert.metta,0,6000,0,0,16948,0
identity.metta,0,5460,0,0,16760,0
if.metta,0,5544,0,0,16616,0
if2.metta,0,5504,0,0,16456,0
if3.metta,0,5612,0,0,16540,0
if4.metta,0,5312,0,0,16816,0
ifcasenondet.metta,0,5516,0,0,16772,0
ifsimple.metta,0,5560,0,0,16796,0
invertfunction.metta,0,5816,0,0,16424,0
invertpeanoplus.metta,0,5792,0,0,16840,0
iter.metta,0,5580,0,0,16560,0
let_superpose_if_case.metta,0,5708,0,0,16676,0
letstar.metta,0,5372,0,0,16372,0
library.metta,0,6348,0,0,17068,0
listhead.metta,0,5772,0,0,16672,0
logicprog.metta,0,6104,0,0,16644,0
logicprogset.metta,0,5724,0,0,16744,0
metta4_prog.metta,0,5872,0,0,16752,0
mettaset.metta,0,6304,0,0,16692,0
multicall.metta,0,5544,0,0,16608,0
multiset_operations.metta,0,5636,0,0,16504,0
nestedcons.metta,0,5520,0,0,16656,0
once.metta,0,6348,0,0,16592,0
permutations.metta,7,1291492,0,2,142920,0
recursive_types2.metta,0,5516,0,0,16520,0
repl.metta,0,5632,0,20,2000,124
smartdispatch.metta,0,5600,0,0,16596,0
spacefunction.metta,0,6288,0,0,16468,0
spaces.metta,0,6356,0,0,16644,0
spaces2.metta,0,6348,0,0,16760,0
spaces3.metta,0,5696,0,0,16768,0
specializecyclic.metta,0,5600,0,0,16640,0
string.metta,0,5424,0,0,16748,0
supercollapse.metta,0,6208,0,0,16612,0
superpose_nested.metta,0,5700,0,0,16740,0
test_alpha_unique_atom.metta,0,5676,0,0,17000,0
test_direct_match.metta,0,5376,0,0,17080,0
tests.metta,0,5676,0,0,16612,0
twostage.metta,0,5368,0,0,16908,0
xor.metta,0,5496,0,0,16812,0
