artifact_id	origin_id	origin_sha256	target_path	target_sha256	role	status	limit
syntax-core-v1	petta-spike-eb85359	1056a589391b5e43bd91f6bad2e0da9a1932a09c465a99aa7d0591ca3b7570ae	experiments/gslt2parse_foundation/presentations/core/syntax_core_v1.metta	9d6ddbc0fc6ebdea36f6302ba24b4155ba9e007ee6a9bcada58f29e01f1cf438	shared one-carrier parsing relation	rederived-candidate	Behavior is bounded evidence until every admitted backend consumes this schema.
char-core-v1	petta-spike-eb85359	2b67b9d3b699b3e2663e59dfc0797765e3700db50907f5e9efc0fd5299f2d9b2	experiments/gslt2parse_foundation/presentations/shared/char_core_v1.metta	da023b9a0d6d9f93de7112995ba05bfd177824fd888b5ea33708af1f21ebd2bc	shared character-class relation	mechanically-migrated-candidate	The migrated facts cover their authored scalar set; Unicode closure remains a separate language-data obligation.
metamath-syntax-v1	petta-spike-eb85359	a72561990388396cce9e0fd548b71472262cfafbe6c34b40fb8e1d8b7c511906	langdef/metamath/syntax_v1.metta	96f704e3c12395380a86188a417d3440f853bda41a5b8fb24a2ee9e7f3c73945	Metamath scannerless syntax data	rederived-candidate	Syntax and occurrence-fold evidence do not establish state, frame, or proof-checking semantics.
tptp-fof-cnf-v1	petta-spike-eb85359	5f08f8c34dfc29e407b1273c56f141c250b10d89d8e4c762dc7d393e6bec2a92	langdef/tptp/syntax_fof_cnf_v1.metta	6cb55c85c10ed7940618e74e2b00885bed613ad969b6da497e9fc257344fc4d6	TPTP FOF and CNF syntax data	mechanically-migrated-candidate	This presentation does not claim the remaining TPTP dialects.
syntax-lookahead-core-v1	supercompile-68641db7	034ea6c30968ab538b214370ac6a058f8dd8d2340c2e9fae8e7d43cc6da26be5	experiments/gslt2parse_foundation/presentations/shared/lookahead_core_v1.metta	6f7bfbba089f371ce4b0afcdb7a1eb22b6d4771b7bd9dca2b207397c4b76e993	positive lookahead as an ordinary relation	mechanically-migrated-candidate	Compiled guard correspondence remains a ParserPack obligation.
he-reader-scalar-classes-v1	he-sexpr-parser-v1	c4bda32a09da1d091a5d725fb541e239dcea1339c8f312ad0e98763dad426a28	experiments/gslt2parse_foundation/presentations/shared/he_reader_scalar_classes_v1.metta	5b7439855a64f0fe649c7016a273a595dfcfe58d6732fd7ab97bb154bd4a58dd	Unicode-scalar predicates ratified from the written HE grammar and implementation evidence	rederived-and-checked-candidate	Scalar membership is exhaustively checked over all Unicode scalar values and against the compiled ABI; compiled-reader preservation and reflection remain production obligations.
he-reader-syntax-v1	he-sexpr-parser-v1	c4bda32a09da1d091a5d725fb541e239dcea1339c8f312ad0e98763dad426a28	experiments/gslt2parse_foundation/presentations/languages/he_reader_v1.metta	d5b3fe033971baff9a71dfe8964d7e9139f2006a6789a6a1b2ef9249025e6d18	ratified HE valid-source syntax with an empty-tokenizer canonical projection	rederived-and-checked-candidate	Program-form bang policy, runtime tokenizers, recovery trees, compiled-reader preservation and reflection, and production routing remain separate obligations.
megalodon-dynamic-v1	reviewer-f259933d	b9d8093c986091911cf0ff7ff69d232373e572f15d932bb1b185004586dad158	experiments/gslt2parse_foundation/presentations/languages/megalodon_dynamic_v1.metta	62034719e2428bb9b27fce1d19bd386c5281c80d6d6a72ee0746235967f65c18	Megalodon dynamic-operator syntax and environment data	mechanically-migrated-candidate	This is the tested dynamic tranche, not yet the complete Megalodon syntax presentation.
cetta-prime-reader-v1	reviewer-f259933d	1e0c34022d468fb0a03bd2399486c34be70c42057f6d09500514b7ad41864886	experiments/gslt2parse_foundation/presentations/languages/cetta_prime_reader_v1.metta	df29d196accd24c1dd6cb85285022679e650ca406bc43a730d6b048e9455667c	Prime universal-name S-expression syntax with explicit deterministic prefix boundaries	rederived-and-checked-candidate	The compiled reader agrees with native Prime and the independent Horn/GSLT model on the bounded adversarial matrix; evolving Prime syntax and universal corpus closure remain explicit obligations.
cetta-prime-scalar-classes-v1	reviewer-f259933d	dfb79ce14bb55a4bf755004f0847fbe144a338653a37df80c76a1db922f4feb1	experiments/gslt2parse_foundation/presentations/shared/cetta_prime_scalar_classes_v1.metta	cc628e9be13d11ff06351e56a284bec781a2b4e3416a6200ca6f138a98ecb35e	Unicode-scalar character relations for the Prime prefix and token partitions	rederived-and-checked-candidate	Class translation is regeneration-checked and key dispatch overlaps are killed by compiler mutations; Unicode-wide corpus closure remains an evolving-language obligation.
