file	source_sha256	petta_commit
lib_builtin_types.metta	d1d5b7462aa9336f	ae66fa8
lib_combinatorics.metta	aca0a188210050d7	ae66fa8
lib_datastructures.metta	728d98a4367ce8e4	ae66fa8
lib_datetime.metta	990f61367051bc69	ae66fa8
lib_llm.metta	1c9b3272b800b4a6	ae66fa8
lib_metamo.metta	38d382e4f246a597	ae66fa8
lib_mm2.metta	5683ee6cec7780ac	ae66fa8
lib_nars.metta	f2a1ab3be59c5912	ae66fa8
lib_patrick.metta	ca09ac3dd854b054	ae66fa8
lib_pln.metta	6b980321bbe9b49e	ae66fa8
lib_roman.metta	fa5451258506822d	ae66fa8
lib_tabling.metta	3c726822c786f6f2	ae66fa8
lib_vector.metta	f049a0f65cddc6ec	ae66fa8
lib_zar.metta	e19d0f5d1b8938ef	ae66fa8
lib_datetime.pl	097f00a01450cba7	ae66fa8
lib_zar.pl	d2e160b3cfb447df	ae66fa8
lib_llm.py	cbdeef7260308604	ae66fa8
